cheval,participations_elite,note_elite_max,note_elite_moyenne,lieu,date_reference,concours_reference,race_reference,latitude,longitude
OUASSIMA JM,10,78.5,78.5,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
KANTADOR ADHAM,10,78.25,78.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OUIKAR JM,10,78.25,78.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUABOUSS ADHAM,10,78.0,78.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RINASS AB,10,78.0,78.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OUMAS AJ,10,77.75,77.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QILADA BNI ZNASSEN,10,77.0,77.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QINAN SAIS,10,76.5,76.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RABIE ZALAGH,10,76.25,76.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RACHDY,10,75.5,75.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
MAAROUF TAMARISS,10,75.25,75.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAYHANE KABLYENNE,10,75.0,75.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RIM ELJANOUB,10,75.0,75.0,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
OIKIL JM,10,74.75,74.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
MARAYA JM,10,74.25,74.25,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
MASHHAR SOUSS,10,74.25,74.25,AGADIR,2025-06-03,REGIONAL ARABE BARBE,ARBE,30.4205162,-9.5838532
OMENAY ADHAM,10,74.25,74.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QORBAN JM,10,74.25,74.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUISSIYA,10,74.0,74.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
NOUWARA BNI MTIR,10,73.75,73.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QASSIM QA,10,73.75,73.75,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
JENNATE,10,73.5,73.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OUAHIJ OUJDA,10,73.5,73.5,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
OUDIMA,10,73.5,73.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QAMEL,10,73.5,73.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAFIKA ADHAM,10,73.5,73.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
ROSTAM AL HOUDA,10,73.5,73.5,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
OUABRE JM,10,73.25,73.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OUSSELYAN ADHAM,10,73.25,73.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RIMAH CHOURAFAE,10,73.25,73.25,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
JABARA I,10,73.0,73.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
OLEGA,10,73.0,73.0,HARAS NATIONAL DE MEKNES,2025-06-09,REGIONAL ARABE BARBE,ARBE,33.8984131,-5.5321582
QAFASS LKHIR,10,73.0,73.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
RATIBA,10,73.0,73.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAZK ESSALAM,10,73.0,73.0,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
OUASSILA ADHAM,10,72.75,72.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUANZ JAOUHAR,10,72.75,72.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
MALIHA,10,72.5,72.5,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
OUAKAR JM,10,72.5,72.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OULAFA JM,10,72.5,72.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUIBRIYAE,10,72.5,72.5,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
ROHE,10,72.5,72.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAJINE,10,72.25,72.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
HAMAMA,10,72.0,72.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
NAGHMA JM,10,72.0,72.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
OUSSAYED,10,72.0,72.0,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
RAFIK BNI MTIR,10,72.0,72.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
HAKIMAH,10,71.75,71.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
MAYMOUNA,10,71.75,71.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
NOUR TAGHZOUT,10,71.75,71.75,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
QODWAT AL ASSIL,10,71.75,71.75,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
RAWASSIM TAMARISS,10,71.75,71.75,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
ENASE,10,71.5,71.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
NAJMAT CHLIHAT,10,71.5,71.5,CPEE DE SEBT GZOULA,2025-06-05,REGIONAL ARABE BARBE,ARBE,32.108297,-9.084263
OULFA ADHAM,10,71.5,71.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUOBAA,10,71.5,71.5,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
CAMICHAH,10,71.25,71.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
MOUTANA,10,71.25,71.25,HARAS NATIONAL DE MEKNES,2025-06-09,REGIONAL ARABE BARBE,ARBE,33.8984131,-5.5321582
OUTTALEB,10,71.25,71.25,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
QUADISSA ADHAM,10,71.25,71.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
FOUGHAL MAZAGHAN,10,71.0,71.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
LOUBANAT AL BARAKA,10,71.0,71.0,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
MIRZOUKE,10,71.0,71.0,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
NAFFIE,10,71.0,71.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
NAJMAT SBIAAT,10,71.0,71.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
OUMSIYAH,10,71.0,71.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QOUHAIL ELJANOUB,10,71.0,71.0,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
QUITTAFE MNARA,10,71.0,71.0,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
HAYTI,10,70.75,70.75,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
NIRMINE TAMARISS,10,70.75,70.75,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
OUAFIYA JM,10,70.75,70.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUATAMRA,10,70.75,70.75,HARAS NATIONAL DE MEKNES,2025-06-09,REGIONAL ARABE BARBE,ARBE,33.8984131,-5.5321582
RIWAQATE ELJANOUB,10,70.75,70.75,AGADIR,2025-06-03,REGIONAL ARABE BARBE,ARBE,30.4205162,-9.5838532
RONDA ADHAM,10,70.75,70.75,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
NAMYRA,10,70.5,70.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OBDIRA,10,70.5,70.5,AGADIR,2025-06-03,REGIONAL ARABE BARBE,ARBE,30.4205162,-9.5838532
OUDHOUBA ADHAM,10,70.5,70.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
OUNAJM MZOURFA,10,70.5,70.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RITAJE,10,70.5,70.5,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
ESPERANZA,10,70.25,70.25,AGADIR,2025-06-03,REGIONAL ARABE BARBE,ARBE,30.4205162,-9.5838532
LAAROUS WAKIL,10,70.25,70.25,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
QUAMA,10,70.25,70.25,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
RABII AIN ATLAS,10,70.25,70.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAMZ ELJANOUB,10,70.25,70.25,HARAS NATIONAL DE MARRAKECH,2025-06-22,REGIONAL BARBE,BARBE,31.6258257,-7.9891608
RAYIS NASSER,10,70.25,70.25,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
RAYSS JM,10,70.25,70.25,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
HARNOUF,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
KAYSSAR FRAJ,10,70.0,70.0,HARAS NATIONAL D EL JADIDA,2025-06-29,REGIONAL BARBE,BARBE,33.2440832,-8.4767251
MACHERIQUE,10,70.0,70.0,HARAS NATIONAL D OUJDA,2025-07-17,REGIONAL BARBE,BARBE,34.677874,-1.929306
QUANZ KA,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
QUANZ LAGHDIRA,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RACHM JM,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAGHAD AL BAHAE,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAHB TAFILALT,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
RAWAA MEZOURFA,10,70.0,70.0,HARAS NATIONAL DE MEKNES,2025-06-15,REGIONAL BARBE,BARBE,33.8984131,-5.5321582
