annee,race,haras_organisateur,cre_ville,lieu_organisation,nb_jours,lat,lon,popup,couverture_concours_2026
2026,Arabe Barbe / Barbe,Marrakech,Marrakech,HN Marrakech,2,31.6342,-7.9999,Marrakech — HN Marrakech (2 j),"Régions Sud 1: Régions Sous Massa/Guelmim Oued Noun | Région Marrakech Safi 1: Provinces Safi/Essaouira | Région Marrakech Safi 2: Provinces Youssoufia | Région Marrakech Safi 3: Région Marrakech hors provinces Safi , Essaouira et Youssoufia | Région Beni Mellal Khenifra 1: Provinces Fkih Bensaleh | Région Beni Mellal Khenifra 2: Region Beni Melal hors Provinces Khenifra et Fkih Bensaleh"
2026,Arabe Barbe / Barbe,Marrakech,Agadir,CLUB DE L’ETRIER D’AGADIR,1,30.42018,-9.59815,Agadir — CLUB DE L’ETRIER D’AGADIR (1 j),"Régions Sud 1: Régions Sous Massa/Guelmim Oued Noun | Région Marrakech Safi 1: Provinces Safi/Essaouira | Région Marrakech Safi 2: Provinces Youssoufia | Région Marrakech Safi 3: Région Marrakech hors provinces Safi , Essaouira et Youssoufia | Région Beni Mellal Khenifra 1: Provinces Fkih Bensaleh | Région Beni Mellal Khenifra 2: Region Beni Melal hors Provinces Khenifra et Fkih Bensaleh"
2026,Arabe Barbe / Barbe,Marrakech,Safi,CPEE SEBT GZOULA,2,32.29939,-9.23718,Safi — CPEE SEBT GZOULA (2 j),"Régions Sud 1: Régions Sous Massa/Guelmim Oued Noun | Région Marrakech Safi 1: Provinces Safi/Essaouira | Région Marrakech Safi 2: Provinces Youssoufia | Région Marrakech Safi 3: Région Marrakech hors provinces Safi , Essaouira et Youssoufia | Région Beni Mellal Khenifra 1: Provinces Fkih Bensaleh | Région Beni Mellal Khenifra 2: Region Beni Melal hors Provinces Khenifra et Fkih Bensaleh"
2026,Arabe Barbe / Barbe,Marrakech,Beni Mellal,FKIH BEN SALAH,3,32.50093,-6.69062,Beni Mellal — FKIH BEN SALAH (3 j),"Régions Sud 1: Régions Sous Massa/Guelmim Oued Noun | Région Marrakech Safi 1: Provinces Safi/Essaouira | Région Marrakech Safi 2: Provinces Youssoufia | Région Marrakech Safi 3: Région Marrakech hors provinces Safi , Essaouira et Youssoufia | Région Beni Mellal Khenifra 1: Provinces Fkih Bensaleh | Région Beni Mellal Khenifra 2: Region Beni Melal hors Provinces Khenifra et Fkih Bensaleh"
2026,Arabe Barbe / Barbe,Meknes,Khenifra,HN MEKNES,1,32.93492,-5.66167,Khenifra — HN MEKNES (1 j),"Régions Nord: Région Tanger/Tetouan/Al Hoceima, Provinces Khemisset, Sidi Kacem et Sidi Slimane | Régions Sud 2: Provinces Khenifra et Région Draa Tafilalet | Région Fes Meknes 1: Provinces Fes, Moulay Yaacoub, Sefrou, Taounate et Taza | Région Fes Meknes 2: Provinces Meknes, Ifrane et El Hajeb | Région Fes Meknes 3: Province Boulemane (Missour)"
2026,Arabe Barbe / Barbe,Meknes,Ifrane,,1,33.522806,-5.110955,Ifrane —  (1 j),"Régions Nord: Région Tanger/Tetouan/Al Hoceima, Provinces Khemisset, Sidi Kacem et Sidi Slimane | Régions Sud 2: Provinces Khenifra et Région Draa Tafilalet | Région Fes Meknes 1: Provinces Fes, Moulay Yaacoub, Sefrou, Taounate et Taza | Région Fes Meknes 2: Provinces Meknes, Ifrane et El Hajeb | Région Fes Meknes 3: Province Boulemane (Missour)"
2026,Arabe Barbe / Barbe,Meknes,Fes,,2,34.03313,-5.00028,Fes —  (2 j),"Régions Nord: Région Tanger/Tetouan/Al Hoceima, Provinces Khemisset, Sidi Kacem et Sidi Slimane | Régions Sud 2: Provinces Khenifra et Région Draa Tafilalet | Région Fes Meknes 1: Provinces Fes, Moulay Yaacoub, Sefrou, Taounate et Taza | Région Fes Meknes 2: Provinces Meknes, Ifrane et El Hajeb | Région Fes Meknes 3: Province Boulemane (Missour)"
2026,Arabe Barbe / Barbe,Meknes,Meknes,,1,33.89352,-5.54727,Meknes —  (1 j),"Régions Nord: Région Tanger/Tetouan/Al Hoceima, Provinces Khemisset, Sidi Kacem et Sidi Slimane | Régions Sud 2: Provinces Khenifra et Région Draa Tafilalet | Région Fes Meknes 1: Provinces Fes, Moulay Yaacoub, Sefrou, Taounate et Taza | Région Fes Meknes 2: Provinces Meknes, Ifrane et El Hajeb | Région Fes Meknes 3: Province Boulemane (Missour)"
2026,Arabe Barbe / Barbe,Meknes,Khemisset,,1,33.82404,-6.06627,Khemisset —  (1 j),"Régions Nord: Région Tanger/Tetouan/Al Hoceima, Provinces Khemisset, Sidi Kacem et Sidi Slimane | Régions Sud 2: Provinces Khenifra et Région Draa Tafilalet | Région Fes Meknes 1: Provinces Fes, Moulay Yaacoub, Sefrou, Taounate et Taza | Région Fes Meknes 2: Provinces Meknes, Ifrane et El Hajeb | Région Fes Meknes 3: Province Boulemane (Missour)"
2026,Arabe Barbe / Barbe,Oujda,Oujda,HN OUJDA,1,34.68139,-1.90858,Oujda — HN OUJDA (1 j),"Région L'Oriental 1: Provinces Jerada et Figuig | Région L'Oriental 2: Provinces Oujda, Berkane, Nador, Driouch | Région L'Oriental 3: Provinces Guercif, Taourirt"
2026,Arabe Barbe / Barbe,Oujda,Jerada,CPEE AIN BNI MATHAR,1,34.31,-2.16,Jerada — CPEE AIN BNI MATHAR (1 j),"Région L'Oriental 1: Provinces Jerada et Figuig | Région L'Oriental 2: Provinces Oujda, Berkane, Nador, Driouch | Région L'Oriental 3: Provinces Guercif, Taourirt"
2026,Arabe Barbe / Barbe,Oujda,Missour,CPEE MISSOUR,1,33.04893,-3.98947,Missour — CPEE MISSOUR (1 j),"Région L'Oriental 1: Provinces Jerada et Figuig | Région L'Oriental 2: Provinces Oujda, Berkane, Nador, Driouch | Région L'Oriental 3: Provinces Guercif, Taourirt"
2026,Arabe Barbe / Barbe,Oujda,Guercif,CPEE DE GUERCIF,2,34.22568,-3.35361,Guercif — CPEE DE GUERCIF (2 j),"Région L'Oriental 1: Provinces Jerada et Figuig | Région L'Oriental 2: Provinces Oujda, Berkane, Nador, Driouch | Région L'Oriental 3: Provinces Guercif, Taourirt"
2026,Arabe Barbe / Barbe,El Jadida,El Jadida,HN EL JADIDA,2,33.25492,-8.50602,El Jadida — HN EL JADIDA (2 j),Région Casablanca Settat 1: Province Sidi Bennour | Région Casablanca Settat 2: Province El Jadida | Région Casablanca Settat 3: Provinces Settat et Berrechid
2026,Arabe Barbe / Barbe,Bouznika,Bouznika,HN BOUZNIKA,2,33.78942,-7.15968,Bouznika — HN BOUZNIKA (2 j),"Régions Centre: Provinces Benslimane, Salé, Kénitra, Skhirat Temara | Région Casablanca Settat 4: Provinces Casablanca et Nouaceur | Région Casablanca Settat 5: Provinces Mediouna et Mohamedia"
